epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,247.484,0.59261,0.44652,0.97974,0.99692,0.9434,0.96525,0.88076,0.50031,0.40012,0.89436,0.0005842,0.0005842,0.0005842
44,253.222,0.61442,0.46723,1.00052,0.99809,0.9434,0.97101,0.87886,0.50763,0.48671,0.90261,0.0005743,0.0005743,0.0005743
45,258.989,0.57257,0.4609,0.98486,0.99819,0.9434,0.97003,0.87026,0.4865,0.43326,0.89149,0.0005644,0.0005644,0.0005644
46,264.744,0.57646,0.47102,0.96068,0.99834,0.9434,0.96818,0.8828,0.49351,0.42012,0.88684,0.0005545,0.0005545,0.0005545
47,270.496,0.56228,0.44995,0.96852,0.99812,0.9434,0.97021,0.87805,0.50697,0.46235,0.8933,0.0005446,0.0005446,0.0005446
48,276.258,0.59215,0.47562,0.99548,0.98063,0.96226,0.96582,0.8711,0.48429,0.42139,0.88329,0.0005347,0.0005347,0.0005347
49,282.013,0.54987,0.41942,0.96276,0.99845,0.9434,0.96498,0.8793,0.49093,0.43917,0.89877,0.0005248,0.0005248,0.0005248
50,287.77,0.53002,0.40243,0.95551,1,0.94261,0.96988,0.88623,0.51914,0.53508,0.92337,0.0005149,0.0005149,0.0005149
51,293.584,0.56822,0.44096,0.9635,1,0.95963,0.97327,0.90311,0.47047,0.47189,0.88706,0.000505,0.000505,0.000505
52,299.421,0.53936,0.42719,0.96894,0.97827,0.9434,0.96444,0.85845,0.49715,0.5078,0.90352,0.0004951,0.0004951,0.0004951
53,305.16,0.54238,0.41577,0.95155,0.99806,0.9434,0.96619,0.86462,0.4783,0.49006,0.8988,0.0004852,0.0004852,0.0004852
54,310.921,0.57899,0.42661,0.98917,0.99874,0.9434,0.97186,0.88736,0.49111,0.47006,0.89419,0.0004753,0.0004753,0.0004753
55,316.682,0.53929,0.38711,0.93213,1,0.92094,0.96511,0.8968,0.4443,0.47189,0.88153,0.0004654,0.0004654,0.0004654
56,322.444,0.52568,0.37586,0.93976,1,0.95906,0.9728,0.90285,0.45696,0.42282,0.874,0.0004555,0.0004555,0.0004555
57,328.196,0.53259,0.44594,0.95797,0.99633,0.9434,0.97175,0.88471,0.47109,0.44848,0.87684,0.0004456,0.0004456,0.0004456
58,333.952,0.52535,0.41216,0.93117,1,0.94173,0.96846,0.88419,0.44059,0.40593,0.8655,0.0004357,0.0004357,0.0004357
59,339.721,0.49068,0.38224,0.92183,0.97639,0.9434,0.96672,0.87737,0.44505,0.44289,0.86245,0.0004258,0.0004258,0.0004258
60,345.476,0.5014,0.3761,0.91084,0.99825,0.9434,0.96585,0.88764,0.455,0.40535,0.86522,0.0004159,0.0004159,0.0004159
61,351.256,0.53036,0.40218,0.95897,1,0.94125,0.96596,0.88483,0.43746,0.39699,0.86911,0.000406,0.000406,0.000406
62,357.023,0.50189,0.38385,0.93346,0.99882,0.9434,0.96899,0.90323,0.44889,0.44337,0.87269,0.0003961,0.0003961,0.0003961
63,362.858,0.51203,0.3932,0.94809,0.99877,0.9434,0.97256,0.89819,0.46645,0.44171,0.87798,0.0003862,0.0003862,0.0003862
64,368.631,0.46411,0.35702,0.91082,0.9986,0.9434,0.96952,0.891,0.48941,0.48167,0.87893,0.0003763,0.0003763,0.0003763
65,374.411,0.47129,0.35325,0.92265,0.99764,0.9434,0.97008,0.88446,0.48206,0.46319,0.87714,0.0003664,0.0003664,0.0003664
66,380.179,0.53769,0.39811,0.94019,1,0.95973,0.9701,0.87738,0.45922,0.38907,0.86982,0.0003565,0.0003565,0.0003565
67,385.942,0.4777,0.36449,0.92093,0.98861,0.96226,0.97129,0.90227,0.44066,0.41308,0.8634,0.0003466,0.0003466,0.0003466
68,391.712,0.4437,0.33904,0.92158,0.99591,0.96226,0.97149,0.90428,0.4495,0.47426,0.88022,0.0003367,0.0003367,0.0003367
69,397.544,0.49089,0.41958,0.94368,1,0.92236,0.97002,0.8945,0.45244,0.40029,0.87521,0.0003268,0.0003268,0.0003268
70,403.318,0.43365,0.33475,0.89541,0.97611,0.9434,0.96148,0.8783,0.44666,0.39074,0.8679,0.0003169,0.0003169,0.0003169
71,409.086,0.48837,0.37336,0.937,0.99804,0.96226,0.9754,0.90511,0.45805,0.39386,0.8689,0.000307,0.000307,0.000307
