epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2092.24,0.86357,0.64629,1.83968,0.98409,0.96829,0.99064,0.86749,0.6904,0.42045,1.57552,0.000494885,0.000494885,0.000494885
43,2141.83,0.85139,0.6329,1.84413,0.98857,0.95916,0.99001,0.8658,0.70764,0.43678,1.63338,0.000486639,0.000486639,0.000486639
44,2191.38,0.84655,0.64587,1.84415,0.97974,0.95184,0.98567,0.86201,0.66055,0.44471,1.54386,0.000478392,0.000478392,0.000478392
45,2241.04,0.85977,0.64599,1.85573,0.97788,0.96492,0.98669,0.87669,0.64328,0.44565,1.56492,0.000470145,0.000470145,0.000470145
46,2290.78,0.83581,0.63251,1.81919,0.97469,0.97586,0.99093,0.86669,0.64643,0.41273,1.53537,0.000461898,0.000461898,0.000461898
47,2340.38,0.8395,0.61829,1.81663,0.96458,0.98057,0.99066,0.87756,0.64514,0.42159,1.57384,0.000453652,0.000453652,0.000453652
48,2390.12,0.83464,0.63482,1.80961,0.96985,0.96999,0.98919,0.86242,0.67889,0.44401,1.57623,0.000445405,0.000445405,0.000445405
49,2439.54,0.8329,0.61474,1.83152,0.96845,0.98069,0.99045,0.87497,0.64989,0.42137,1.53778,0.000437158,0.000437158,0.000437158
50,2489.18,0.816,0.61482,1.80025,0.98352,0.95729,0.9875,0.87141,0.63192,0.42572,1.49794,0.000428912,0.000428912,0.000428912
51,2538.71,0.81733,0.61796,1.80788,0.97589,0.96156,0.99026,0.86963,0.64746,0.43461,1.50538,0.000420665,0.000420665,0.000420665
52,2588.24,0.79566,0.60762,1.80244,0.98076,0.96124,0.98391,0.87992,0.62402,0.43986,1.51103,0.000412418,0.000412418,0.000412418
53,2638.03,0.80192,0.61374,1.76031,0.96849,0.95998,0.9858,0.87265,0.64613,0.45206,1.52488,0.000404172,0.000404172,0.000404172
54,2687.66,0.80962,0.60789,1.78506,0.98595,0.96639,0.99062,0.89217,0.61399,0.40574,1.46373,0.000395925,0.000395925,0.000395925
55,2737.48,0.7957,0.59598,1.77249,0.98641,0.96561,0.9896,0.88282,0.62813,0.41447,1.47151,0.000387678,0.000387678,0.000387678
56,2787.19,0.78694,0.59925,1.76787,0.98563,0.97119,0.99,0.87742,0.63307,0.40319,1.49292,0.000379431,0.000379431,0.000379431
57,2836.78,0.79383,0.59863,1.77612,0.97206,0.96976,0.98604,0.87732,0.62913,0.41455,1.49154,0.000371185,0.000371185,0.000371185
58,2886.51,0.76819,0.57898,1.75793,0.97674,0.98278,0.99187,0.8843,0.60509,0.38467,1.48839,0.000362938,0.000362938,0.000362938
59,2936.07,0.78224,0.57535,1.75661,0.9779,0.97088,0.98989,0.8797,0.6249,0.41192,1.46945,0.000354691,0.000354691,0.000354691
60,2985.76,0.77704,0.57188,1.73556,0.97793,0.97638,0.99067,0.88822,0.59929,0.38196,1.44757,0.000346445,0.000346445,0.000346445
61,3035.98,0.76819,0.57388,1.72917,0.97523,0.97235,0.98667,0.87531,0.62448,0.40762,1.46854,0.000338198,0.000338198,0.000338198
62,3085.45,0.76945,0.57647,1.74963,0.98402,0.97005,0.99149,0.8839,0.59158,0.40441,1.44953,0.000329951,0.000329951,0.000329951
63,3135.08,0.77159,0.59172,1.74398,0.97781,0.96753,0.98772,0.87785,0.60183,0.40154,1.44917,0.000321705,0.000321705,0.000321705
64,3184.58,0.75924,0.55614,1.72274,0.96783,0.97382,0.99134,0.88631,0.59004,0.39338,1.45106,0.000313458,0.000313458,0.000313458
65,3234.12,0.74503,0.5547,1.71478,0.98002,0.95944,0.9853,0.8725,0.60075,0.40349,1.44232,0.000305211,0.000305211,0.000305211
66,3283.68,0.76725,0.5709,1.7282,0.96338,0.97683,0.98368,0.88286,0.58392,0.39645,1.42703,0.000296964,0.000296964,0.000296964
67,3333.17,0.75094,0.54944,1.71932,0.97944,0.96736,0.98911,0.88564,0.59472,0.39569,1.41894,0.000288718,0.000288718,0.000288718
68,3382.92,0.74111,0.54613,1.70487,0.98807,0.95647,0.98927,0.88587,0.60291,0.40832,1.45572,0.000280471,0.000280471,0.000280471
69,3432.48,0.73454,0.5462,1.72144,0.97336,0.97859,0.98972,0.88882,0.60436,0.39785,1.46316,0.000272224,0.000272224,0.000272224
70,3482.13,0.74473,0.56831,1.69717,0.97452,0.97469,0.99036,0.89113,0.58471,0.39199,1.47577,0.000263978,0.000263978,0.000263978
71,3531.73,0.73575,0.54952,1.69166,0.97241,0.9764,0.99116,0.89447,0.58477,0.38549,1.46397,0.000255731,0.000255731,0.000255731
72,3581.46,0.72993,0.53499,1.6966,0.98515,0.96311,0.98856,0.89326,0.56773,0.38161,1.42174,0.000247484,0.000247484,0.000247484
73,3630.85,0.7104,0.52489,1.67,0.98831,0.9655,0.99137,0.89188,0.59065,0.38912,1.43797,0.000239238,0.000239238,0.000239238
74,3680.48,0.71864,0.53329,1.68653,0.98593,0.96228,0.98768,0.88506,0.59708,0.39806,1.42196,0.000230991,0.000230991,0.000230991
75,3730.11,0.70584,0.52076,1.65533,0.97529,0.96014,0.98688,0.88561,0.5853,0.39602,1.44354,0.000222744,0.000222744,0.000222744
76,3779.84,0.71267,0.5358,1.65579,0.9864,0.9619,0.99153,0.88824,0.60013,0.37814,1.46887,0.000214497,0.000214497,0.000214497
77,3829.43,0.70645,0.53487,1.67592,0.98255,0.95823,0.98886,0.89501,0.56998,0.37367,1.43307,0.000206251,0.000206251,0.000206251
78,3879.27,0.70924,0.52269,1.70546,0.9813,0.96186,0.99005,0.8964,0.56534,0.37981,1.4334,0.000198004,0.000198004,0.000198004
79,3929.02,0.71151,0.53212,1.66829,0.98564,0.96316,0.9899,0.89206,0.57555,0.3781,1.43649,0.000189757,0.000189757,0.000189757
80,3978.71,0.69252,0.52852,1.65211,0.97876,0.96353,0.98963,0.89115,0.57048,0.38687,1.42459,0.000181511,0.000181511,0.000181511
81,4029.07,0.70168,0.53556,1.65226,0.97062,0.97984,0.99069,0.89008,0.57068,0.37687,1.40041,0.000173264,0.000173264,0.000173264
82,4078.57,0.69233,0.53568,1.66044,0.97347,0.97569,0.99081,0.8996,0.57001,0.36954,1.43512,0.000165017,0.000165017,0.000165017
83,4128.24,0.67438,0.49721,1.60364,0.97182,0.97489,0.9898,0.89708,0.56743,0.3874,1.42993,0.000156771,0.000156771,0.000156771
84,4177.88,0.70479,0.52792,1.65449,0.98527,0.95614,0.9875,0.89407,0.56586,0.37897,1.46444,0.000148524,0.000148524,0.000148524
85,4227.52,0.68461,0.50898,1.6399,0.9775,0.96257,0.98804,0.894,0.56655,0.37586,1.43803,0.000140277,0.000140277,0.000140277
86,4277.07,0.67995,0.50237,1.62633,0.98347,0.96274,0.98879,0.89847,0.55478,0.37102,1.40372,0.000132031,0.000132031,0.000132031
87,4326.76,0.66573,0.50402,1.61826,0.97057,0.97035,0.98761,0.89402,0.56057,0.37784,1.40045,0.000123784,0.000123784,0.000123784
88,4376.32,0.66738,0.49945,1.60921,0.98845,0.95745,0.98656,0.90256,0.54934,0.37936,1.41678,0.000115537,0.000115537,0.000115537
89,4426.18,0.66637,0.50628,1.61898,0.98147,0.95363,0.9893,0.89614,0.55964,0.36676,1.41332,0.00010729,0.00010729,0.00010729
90,4475.82,0.66912,0.49858,1.64529,0.98499,0.95092,0.9892,0.90285,0.54668,0.36296,1.37685,9.90437e-05,9.90437e-05,9.90437e-05
91,4525.65,0.51,0.34473,1.38922,0.98757,0.95269,0.99008,0.9049,0.54772,0.36322,1.37607,9.0797e-05,9.0797e-05,9.0797e-05
92,4575.2,0.50397,0.33957,1.38318,0.98805,0.95383,0.98941,0.90771,0.53097,0.36007,1.36724,8.25503e-05,8.25503e-05,8.25503e-05
93,4624.75,0.4958,0.34205,1.36748,0.98991,0.95542,0.9891,0.90347,0.53421,0.36532,1.36211,7.43036e-05,7.43036e-05,7.43036e-05
94,4674.14,0.48119,0.33109,1.35569,0.98264,0.95934,0.9886,0.90222,0.53372,0.36426,1.36033,6.60569e-05,6.60569e-05,6.60569e-05
95,4723.64,0.48212,0.32832,1.3427,0.98392,0.9521,0.9885,0.90379,0.53063,0.36449,1.35943,5.78102e-05,5.78102e-05,5.78102e-05
96,4773.04,0.47954,0.32973,1.34031,0.98796,0.95297,0.98981,0.90757,0.52561,0.35792,1.36051,4.95635e-05,4.95635e-05,4.95635e-05
97,4822.47,0.4691,0.32299,1.3273,0.98945,0.95175,0.98965,0.90911,0.53003,0.36363,1.3652,4.13168e-05,4.13168e-05,4.13168e-05
98,4871.94,0.46714,0.32047,1.326,0.98699,0.95224,0.98968,0.90727,0.52604,0.36175,1.36618,3.30701e-05,3.30701e-05,3.30701e-05
99,4921.34,0.45999,0.31763,1.31422,0.98812,0.95303,0.98935,0.91155,0.52106,0.3595,1.35502,2.48234e-05,2.48234e-05,2.48234e-05
100,4970.89,0.47367,0.321,1.3226,0.99017,0.95075,0.98939,0.91022,0.52289,0.35947,1.35036,1.65767e-05,1.65767e-05,1.65767e-05
